depth,s_predicted,date,p_detected,s_error,network,detected,catalogued,epi_distance,provider,s_confidence,long,p_predicted,p_confidence,lat,time,code,p_error,mag,event_id,s_detected,plot_path,mag_type,unique_id
10.0,2024-08-24T00:18:36.751902,2024-08-23,,,AM,False,True,7931.592494334927,GFZ,,160.76,2024-08-24T00:09:15.769757,,52.913,2024-08-23T23:57:52.840000,R50D6,,4.88,smi:org.gfz-potsdam.de/geofon/gfz2024qpeq,,,mb,2024-08-23_175
10.0,2024-08-23T21:58:27.230078,2024-08-23,,,AM,False,True,7923.202548334168,GFZ,,160.815,2024-08-23T21:49:06.663885,,52.996,2024-08-23T21:37:44.190000,R50D6,,5.15,smi:org.gfz-potsdam.de/geofon/gfz2024qpaa,,,mb,2024-08-23_176
10.0,2024-08-23T20:48:59.805142,2024-08-23,,,AM,False,True,5461.313892546101,GFZ,,71.205,2024-08-23T20:41:51.986244,,39.843,2024-08-23T20:33:01.880000,R50D6,,4.75,smi:org.gfz-potsdam.de/geofon/gfz2024qoxv,,,mb,2024-08-23_177
10.0,2024-08-23T19:39:47.749649,2024-08-23,,,AM,False,True,7920.030103429638,GFZ,,160.621,2024-08-23T19:30:27.341091,,53.003,2024-08-23T19:19:05.040000,R50D6,,5.17,smi:org.gfz-potsdam.de/geofon/gfz2024qovl,,,mb,2024-08-23_178
0.8,2024-08-23T17:19:15.076658,2024-08-23,,,AM,False,True,1239.9548271053554,GFZ,,16.27,2024-08-23T17:17:08.016681,,51.498,2024-08-23T17:14:26.890000,R50D6,,3.4,smi:org.gfz-potsdam.de/geofon/gfz2024qorj,,,mb,2024-08-23_179
29.0,2024-08-23T07:30:24.687955,2024-08-23,,,AM,False,True,7948.942227380042,GFZ,,160.908,2024-08-23T07:21:02.848393,,52.771,2024-08-23T07:09:38.980000,R50D6,,5.18,smi:org.gfz-potsdam.de/geofon/gfz2024qnxk,,,mb,2024-08-23_180
10.0,2024-08-23T05:27:34.706184,2024-08-23,,,AM,False,True,7953.886707137593,GFZ,,160.99,2024-08-23T05:18:12.619613,,52.735,2024-08-23T05:06:48.480000,R50D6,,5.4,smi:org.gfz-potsdam.de/geofon/gfz2024qnti,,,m,2024-08-23_181
,,2024-08-23,2024-08-22T23:56:35.900000,,AM,True,False,,Detection,,,,0.8153244853019714,,2024-08-22T23:56:35.900000,R50D6,,,,,,,2024-08-23_08
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T00:26:53.970000,R50D6,,,,,,,2024-08-23_09
,,2024-08-23,2024-08-23T00:37:06,,AM,True,False,,Detection,,,,0.5757492780685425,,2024-08-23T00:37:06,R50D6,,,,,,,2024-08-23_10
,,2024-08-23,2024-08-23T00:57:06.650000,,AM,True,False,,Detection,,,,0.7644798159599304,,2024-08-23T00:57:06.650000,R50D6,,,,,,,2024-08-23_11
,,2024-08-23,2024-08-23T00:58:23.080000,,AM,True,False,,Detection,,,,0.5192162394523621,,2024-08-23T00:58:23.080000,R50D6,,,,,,,2024-08-23_12
,,2024-08-23,2024-08-23T01:08:08,,AM,True,False,,Detection,,,,0.5881459712982178,,2024-08-23T01:08:08,R50D6,,,,,,,2024-08-23_13
,,2024-08-23,2024-08-23T01:11:38,,AM,True,False,,Detection,,,,0.839888334274292,,2024-08-23T01:11:38,R50D6,,,,,,,2024-08-23_14
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T01:17:36.980000,R50D6,,,,,,,2024-08-23_15
,,2024-08-23,2024-08-23T01:27:19.040000,,AM,True,False,,Detection,,,,0.5081694722175598,,2024-08-23T01:27:19.040000,R50D6,,,,,,,2024-08-23_16
,,2024-08-23,2024-08-23T01:57:30.400000,,AM,True,False,,Detection,,,,0.7367016077041626,,2024-08-23T01:57:30.400000,R50D6,,,,,,,2024-08-23_17
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T01:57:34.270000,R50D6,,,,,,,2024-08-23_18
,,2024-08-23,2024-08-23T02:16:35.020000,,AM,True,False,,Detection,,,,0.7881516814231873,,2024-08-23T02:16:35.020000,R50D6,,,,,,,2024-08-23_19
,,2024-08-23,2024-08-23T02:24:06,,AM,True,False,,Detection,,,,0.5255337357521057,,2024-08-23T02:24:06,R50D6,,,,,,,2024-08-23_20
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T02:27:46.680000,R50D6,,,,,,,2024-08-23_21
,,2024-08-23,2024-08-23T02:42:44.970000,,AM,True,False,,Detection,,,,0.6905864477157593,,2024-08-23T02:42:44.970000,R50D6,,,,,,,2024-08-23_22
,,2024-08-23,2024-08-23T02:43:10.140000,,AM,True,False,,Detection,,,,0.6037183403968811,,2024-08-23T02:43:10.140000,R50D6,,,,,,,2024-08-23_23
,,2024-08-23,2024-08-23T02:46:19.510000,,AM,True,False,,Detection,,,,0.6843689680099487,,2024-08-23T02:46:19.510000,R50D6,,,,,,,2024-08-23_24
,,2024-08-23,2024-08-23T03:47:08.010000,,AM,True,False,,Detection,,,,0.5964372158050537,,2024-08-23T03:47:08.010000,R50D6,,,,,,,2024-08-23_25
,,2024-08-23,2024-08-23T03:58:10.030000,,AM,True,False,,Detection,,,,0.5290547609329224,,2024-08-23T03:58:10.030000,R50D6,,,,,,,2024-08-23_26
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T03:58:10.800000,R50D6,,,,,,,2024-08-23_27
,,2024-08-23,2024-08-23T04:25:21.080000,,AM,True,False,,Detection,,,,0.7087300419807434,,2024-08-23T04:25:21.080000,R50D6,,,,,,,2024-08-23_28
,,2024-08-23,2024-08-23T04:35:39.020000,,AM,True,False,,Detection,,,,0.732419490814209,,2024-08-23T04:35:39.020000,R50D6,,,,,,,2024-08-23_29
,,2024-08-23,2024-08-23T04:37:53.040000,,AM,True,False,,Detection,,,,0.5152786374092102,,2024-08-23T04:37:53.040000,R50D6,,,,,,,2024-08-23_30
,,2024-08-23,2024-08-23T04:40:08.120000,,AM,True,False,,Detection,,,,0.7547982931137085,,2024-08-23T04:40:08.120000,R50D6,,,,,,,2024-08-23_31
,,2024-08-23,2024-08-23T04:57:05.030000,,AM,True,False,,Detection,,,,0.5560817122459412,,2024-08-23T04:57:05.030000,R50D6,,,,,,,2024-08-23_32
,,2024-08-23,2024-08-23T04:58:40.010000,,AM,True,False,,Detection,,,,0.8887987732887268,,2024-08-23T04:58:40.010000,R50D6,,,,,,,2024-08-23_33
,,2024-08-23,2024-08-23T05:00:37.020000,,AM,True,False,,Detection,,,,0.6365383267402649,,2024-08-23T05:00:37.020000,R50D6,,,,,,,2024-08-23_34
,,2024-08-23,2024-08-23T05:05:21.060000,,AM,True,False,,Detection,,,,0.5471760034561157,,2024-08-23T05:05:21.060000,R50D6,,,,,,,2024-08-23_35
,,2024-08-23,2024-08-23T05:10:36.990000,,AM,True,False,,Detection,,,,0.5975321531295776,,2024-08-23T05:10:36.990000,R50D6,,,,,,,2024-08-23_36
,,2024-08-23,2024-08-23T05:13:20.790000,,AM,True,False,,Detection,,,,0.6004816889762878,,2024-08-23T05:13:20.790000,R50D6,,,,,,,2024-08-23_37
,,2024-08-23,2024-08-23T05:16:05.010000,,AM,True,False,,Detection,,,,0.7988004684448242,,2024-08-23T05:16:05.010000,R50D6,,,,,,,2024-08-23_38
,,2024-08-23,2024-08-23T05:21:29.930000,,AM,True,False,,Detection,,,,0.6184221506118774,,2024-08-23T05:21:29.930000,R50D6,,,,,,,2024-08-23_39
,,2024-08-23,2024-08-23T05:28:54.990000,,AM,True,False,,Detection,,,,0.6015134453773499,,2024-08-23T05:28:54.990000,R50D6,,,,,,,2024-08-23_40
,,2024-08-23,2024-08-23T05:42:21.890000,,AM,True,False,,Detection,,,,0.5336184501647949,,2024-08-23T05:42:21.890000,R50D6,,,,,,,2024-08-23_41
,,2024-08-23,2024-08-23T05:44:38.010000,,AM,True,False,,Detection,,,,0.7905741333961487,,2024-08-23T05:44:38.010000,R50D6,,,,,,,2024-08-23_42
,,2024-08-23,2024-08-23T05:45:19.730000,,AM,True,False,,Detection,,,,0.5410248041152954,,2024-08-23T05:45:19.730000,R50D6,,,,,,,2024-08-23_43
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T05:45:20.530000,R50D6,,,,,,,2024-08-23_44
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T05:48:32.520000,R50D6,,,,,,,2024-08-23_45
,,2024-08-23,2024-08-23T05:48:54.160000,,AM,True,False,,Detection,,,,0.6738490462303162,,2024-08-23T05:48:54.160000,R50D6,,,,,,,2024-08-23_46
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T05:48:54.420000,R50D6,,,,,,,2024-08-23_47
,,2024-08-23,2024-08-23T05:52:26.240000,,AM,True,False,,Detection,,,,0.8249998092651367,,2024-08-23T05:52:26.240000,R50D6,,,,,,,2024-08-23_48
,,2024-08-23,2024-08-23T05:52:56.970000,,AM,True,False,,Detection,,,,0.8334150910377502,,2024-08-23T05:52:56.970000,R50D6,,,,,,,2024-08-23_49
,,2024-08-23,2024-08-23T05:54:10.830000,,AM,True,False,,Detection,,,,0.6210201382637024,,2024-08-23T05:54:10.830000,R50D6,,,,,,,2024-08-23_50
,,2024-08-23,2024-08-23T05:55:30.690000,,AM,True,False,,Detection,,,,0.5458056926727295,,2024-08-23T05:55:30.690000,R50D6,,,,,,,2024-08-23_51
,,2024-08-23,2024-08-23T05:59:11.980000,,AM,True,False,,Detection,,,,0.6869409680366516,,2024-08-23T05:59:11.980000,R50D6,,,,,,,2024-08-23_52
,,2024-08-23,2024-08-23T06:02:13.150000,,AM,True,False,,Detection,,,,0.6239530444145203,,2024-08-23T06:02:13.150000,R50D6,,,,,,,2024-08-23_53
,,2024-08-23,2024-08-23T06:05:01.990000,,AM,True,False,,Detection,,,,0.6823288798332214,,2024-08-23T06:05:01.990000,R50D6,,,,,,,2024-08-23_54
,,2024-08-23,2024-08-23T06:11:36.010000,,AM,True,False,,Detection,,,,0.8951411247253418,,2024-08-23T06:11:36.010000,R50D6,,,,,,,2024-08-23_55
,,2024-08-23,2024-08-23T06:17:38.560000,,AM,True,False,,Detection,,,,0.5429345965385437,,2024-08-23T06:17:38.560000,R50D6,,,,,,,2024-08-23_56
,,2024-08-23,2024-08-23T06:18:01.070000,,AM,True,False,,Detection,,,,0.6125131845474243,,2024-08-23T06:18:01.070000,R50D6,,,,,,,2024-08-23_57
,,2024-08-23,2024-08-23T06:26:25.780000,,AM,True,False,,Detection,,,,0.7320002317428589,,2024-08-23T06:26:25.780000,R50D6,,,,,,,2024-08-23_58
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T06:26:26.300000,R50D6,,,,,,,2024-08-23_59
,,2024-08-23,2024-08-23T06:27:06.020000,,AM,True,False,,Detection,,,,0.6920270919799805,,2024-08-23T06:27:06.020000,R50D6,,,,,,,2024-08-23_60
,,2024-08-23,2024-08-23T06:28:23,,AM,True,False,,Detection,,,,0.6206567287445068,,2024-08-23T06:28:23,R50D6,,,,,,,2024-08-23_61
,,2024-08-23,2024-08-23T06:29:20.040000,,AM,True,False,,Detection,,,,0.8843703269958496,,2024-08-23T06:29:20.040000,R50D6,,,,,,,2024-08-23_62
,,2024-08-23,2024-08-23T06:30:39,,AM,True,False,,Detection,,,,0.8769389986991882,,2024-08-23T06:30:39,R50D6,,,,,,,2024-08-23_63
,,2024-08-23,2024-08-23T06:31:25.020000,,AM,True,False,,Detection,,,,0.8881336450576782,,2024-08-23T06:31:25.020000,R50D6,,,,,,,2024-08-23_64
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T06:31:25.600000,R50D6,,,,,,,2024-08-23_65
,,2024-08-23,2024-08-23T06:34:19.040000,,AM,True,False,,Detection,,,,0.7282018661499023,,2024-08-23T06:34:19.040000,R50D6,,,,,,,2024-08-23_66
,,2024-08-23,2024-08-23T06:37:20.020000,,AM,True,False,,Detection,,,,0.6152058839797974,,2024-08-23T06:37:20.020000,R50D6,,,,,,,2024-08-23_67
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T06:37:20.310000,R50D6,,,,,,,2024-08-23_68
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T06:37:46.670000,R50D6,,,,,,,2024-08-23_69
,,2024-08-23,2024-08-23T06:38:37.060000,,AM,True,False,,Detection,,,,0.5022830367088318,,2024-08-23T06:38:37.060000,R50D6,,,,,,,2024-08-23_70
,,2024-08-23,2024-08-23T06:49:07.980000,,AM,True,False,,Detection,,,,0.5129600167274475,,2024-08-23T06:49:07.980000,R50D6,,,,,,,2024-08-23_71
,,2024-08-23,2024-08-23T06:50:01.380000,,AM,True,False,,Detection,,,,0.6594699621200562,,2024-08-23T06:50:01.380000,R50D6,,,,,,,2024-08-23_72
,,2024-08-23,2024-08-23T06:52:09.990000,,AM,True,False,,Detection,,,,0.8109593987464905,,2024-08-23T06:52:09.990000,R50D6,,,,,,,2024-08-23_73
,,2024-08-23,2024-08-23T06:57:06,,AM,True,False,,Detection,,,,0.7985036373138428,,2024-08-23T06:57:06,R50D6,,,,,,,2024-08-23_74
,,2024-08-23,2024-08-23T07:00:10.990000,,AM,True,False,,Detection,,,,0.7081609964370728,,2024-08-23T07:00:10.990000,R50D6,,,,,,,2024-08-23_75
,,2024-08-23,2024-08-23T07:02:02.590000,,AM,True,False,,Detection,,,,0.5623379945755005,,2024-08-23T07:02:02.590000,R50D6,,,,,,,2024-08-23_76
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T07:02:03.020000,R50D6,,,,,,,2024-08-23_77
,,2024-08-23,2024-08-23T07:02:49.590000,,AM,True,False,,Detection,,,,0.5542346239089966,,2024-08-23T07:02:49.590000,R50D6,,,,,,,2024-08-23_78
,,2024-08-23,2024-08-23T07:10:06,,AM,True,False,,Detection,,,,0.7664240598678589,,2024-08-23T07:10:06,R50D6,,,,,,,2024-08-23_79
,,2024-08-23,2024-08-23T07:11:40.960000,,AM,True,False,,Detection,,,,0.5179840326309204,,2024-08-23T07:11:40.960000,R50D6,,,,,,,2024-08-23_80
,,2024-08-23,2024-08-23T07:18:07,,AM,True,False,,Detection,,,,0.9059341549873352,,2024-08-23T07:18:07,R50D6,,,,,,,2024-08-23_81
,,2024-08-23,2024-08-23T07:21:39.010000,,AM,True,False,,Detection,,,,0.5887452960014343,,2024-08-23T07:21:39.010000,R50D6,,,,,,,2024-08-23_82
,,2024-08-23,2024-08-23T07:22:21.900000,,AM,True,False,,Detection,,,,0.6602596640586853,,2024-08-23T07:22:21.900000,R50D6,,,,,,,2024-08-23_83
,,2024-08-23,2024-08-23T07:26:37.060000,,AM,True,False,,Detection,,,,0.5764635801315308,,2024-08-23T07:26:37.060000,R50D6,,,,,,,2024-08-23_84
,,2024-08-23,2024-08-23T07:29:37.990000,,AM,True,False,,Detection,,,,0.8030022382736206,,2024-08-23T07:29:37.990000,R50D6,,,,,,,2024-08-23_85
,,2024-08-23,2024-08-23T07:34:11,,AM,True,False,,Detection,,,,0.5414776802062988,,2024-08-23T07:34:11,R50D6,,,,,,,2024-08-23_86
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T07:46:32.360000,R50D6,,,,,,,2024-08-23_87
,,2024-08-23,2024-08-23T07:51:11,,AM,True,False,,Detection,,,,0.5334553122520447,,2024-08-23T07:51:11,R50D6,,,,,,,2024-08-23_88
,,2024-08-23,2024-08-23T07:58:21,,AM,True,False,,Detection,,,,0.8188955783843994,,2024-08-23T07:58:21,R50D6,,,,,,,2024-08-23_89
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T07:58:42,R50D6,,,,,,,2024-08-23_90
,,2024-08-23,2024-08-23T07:59:02.230000,,AM,True,False,,Detection,,,,0.6786332726478577,,2024-08-23T07:59:02.230000,R50D6,,,,,,,2024-08-23_91
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T07:59:02.840000,R50D6,,,,,,,2024-08-23_92
,,2024-08-23,2024-08-23T08:00:40,,AM,True,False,,Detection,,,,0.5945373773574829,,2024-08-23T08:00:40,R50D6,,,,,,,2024-08-23_93
,,2024-08-23,2024-08-23T08:01:52.040000,,AM,True,False,,Detection,,,,0.6757957935333252,,2024-08-23T08:01:52.040000,R50D6,,,,,,,2024-08-23_94
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T08:04:05.090000,R50D6,,,,,,,2024-08-23_95
,,2024-08-23,2024-08-23T08:08:51.030000,,AM,True,False,,Detection,,,,0.7956579327583313,,2024-08-23T08:08:51.030000,R50D6,,,,,,,2024-08-23_96
,,2024-08-23,2024-08-23T08:15:05,,AM,True,False,,Detection,,,,0.7631139159202576,,2024-08-23T08:15:05,R50D6,,,,,,,2024-08-23_97
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T08:15:05.420000,R50D6,,,,,,,2024-08-23_98
,,2024-08-23,2024-08-23T08:17:40.960000,,AM,True,False,,Detection,,,,0.8588903546333313,,2024-08-23T08:17:40.960000,R50D6,,,,,,,2024-08-23_99
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T08:17:41.300000,R50D6,,,,,,,2024-08-23_100
,,2024-08-23,2024-08-23T08:24:36,,AM,True,False,,Detection,,,,0.873375654220581,,2024-08-23T08:24:36,R50D6,,,,,,,2024-08-23_101
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T08:24:36.660000,R50D6,,,,,,,2024-08-23_102
,,2024-08-23,2024-08-23T08:24:57.130000,,AM,True,False,,Detection,,,,0.5446658134460449,,2024-08-23T08:24:57.130000,R50D6,,,,,,,2024-08-23_103
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T08:24:57.940000,R50D6,,,,,,,2024-08-23_104
,,2024-08-23,2024-08-23T08:29:05.010000,,AM,True,False,,Detection,,,,0.7137696743011475,,2024-08-23T08:29:05.010000,R50D6,,,,,,,2024-08-23_105
,,2024-08-23,2024-08-23T08:30:35,,AM,True,False,,Detection,,,,0.801159679889679,,2024-08-23T08:30:35,R50D6,,,,,,,2024-08-23_106
,,2024-08-23,2024-08-23T08:36:07.030000,,AM,True,False,,Detection,,,,0.5466753244400024,,2024-08-23T08:36:07.030000,R50D6,,,,,,,2024-08-23_107
,,2024-08-23,2024-08-23T08:37:42.010000,,AM,True,False,,Detection,,,,0.8034825921058655,,2024-08-23T08:37:42.010000,R50D6,,,,,,,2024-08-23_108
,,2024-08-23,2024-08-23T08:38:05.170000,,AM,True,False,,Detection,,,,0.728078305721283,,2024-08-23T08:38:05.170000,R50D6,,,,,,,2024-08-23_109
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T08:38:05.660000,R50D6,,,,,,,2024-08-23_110
,,2024-08-23,2024-08-23T08:43:37.980000,,AM,True,False,,Detection,,,,0.6717034578323364,,2024-08-23T08:43:37.980000,R50D6,,,,,,,2024-08-23_111
,,2024-08-23,2024-08-23T08:45:50.970000,,AM,True,False,,Detection,,,,0.6927245259284973,,2024-08-23T08:45:50.970000,R50D6,,,,,,,2024-08-23_112
,,2024-08-23,2024-08-23T08:46:18.820000,,AM,True,False,,Detection,,,,0.5761368870735168,,2024-08-23T08:46:18.820000,R50D6,,,,,,,2024-08-23_113
,,2024-08-23,2024-08-23T08:47:05.020000,,AM,True,False,,Detection,,,,0.7895296216011047,,2024-08-23T08:47:05.020000,R50D6,,,,,,,2024-08-23_114
,,2024-08-23,2024-08-23T08:47:28.360000,,AM,True,False,,Detection,,,,0.6361194849014282,,2024-08-23T08:47:28.360000,R50D6,,,,,,,2024-08-23_115
,,2024-08-23,2024-08-23T08:57:05.010000,,AM,True,False,,Detection,,,,0.7622516751289368,,2024-08-23T08:57:05.010000,R50D6,,,,,,,2024-08-23_116
,,2024-08-23,2024-08-23T08:59:26.680000,,AM,True,False,,Detection,,,,0.6870154142379761,,2024-08-23T08:59:26.680000,R50D6,,,,,,,2024-08-23_117
,,2024-08-23,2024-08-23T09:06:42.770000,,AM,True,False,,Detection,,,,0.6980746388435364,,2024-08-23T09:06:42.770000,R50D6,,,,,,,2024-08-23_118
,,2024-08-23,2024-08-23T09:09:07.010000,,AM,True,False,,Detection,,,,0.602495014667511,,2024-08-23T09:09:07.010000,R50D6,,,,,,,2024-08-23_119
,,2024-08-23,2024-08-23T09:10:37,,AM,True,False,,Detection,,,,0.7247982621192932,,2024-08-23T09:10:37,R50D6,,,,,,,2024-08-23_120
,,2024-08-23,2024-08-23T09:11:07,,AM,True,False,,Detection,,,,0.7972590327262878,,2024-08-23T09:11:07,R50D6,,,,,,,2024-08-23_121
,,2024-08-23,2024-08-23T09:11:36.010000,,AM,True,False,,Detection,,,,0.5252987146377563,,2024-08-23T09:11:36.010000,R50D6,,,,,,,2024-08-23_122
